pipeline_rank,candidate_id,llm_rank,industry_score,total_score
1,amulya-dattada-941b89231,42,0.2692307692307692,0.6771804671200987
2,arunmania,37,0.23076923076923078,0.6704251788186276
3,samasthasunoj,20,0.23076923076923078,0.6601582277561785
4,savaf-methiyil-744910316,39,0.15384615384615385,0.6565439114493109
5,muhammed-ashar-k-19b216236,54,0.2692307692307692,0.6545812854447645
6,yoosuf-chamathadka-ali-9a018a273,13,0.07692307692307693,0.6505362494443447
7,sabeeh-ansari-43525923b,5,0.2692307692307692,0.645930786770678
8,aiswarya-ravindran-a59569223,34,0.07692307692307693,0.6418956962500325
9,abiya-prince-9b159b1b2,8,0.423076923076923,0.6224097968492438
10,harikrishna-r-87b3ab253,4,0.3076923076923077,0.6188212889183505
11,liezelle-anne-n-394338252,60,0.4615384615384615,0.6142037330496039
12,abbas-ali-khan-558a4b400,2,0.23076923076923078,0.6113248959637112
13,minahil-farooq-3961a8294,92,0.07692307692307693,0.6092050352453278
14,jasnaorv,30,0.2692307692307692,0.6086270064549909
15,aiswarya-h,136,0.3461538461538461,0.6061576657707443
16,amrutha-k-k-901814331,6,0.07692307692307693,0.6055105749259908
17,muhammed-akthab-kv-8056042b4,135,0.15384615384615385,0.6026000029345363
18,adnan-faisal-17b260211,59,0.15384615384615385,0.5974446211045467
19,megha-p-s,25,0.15384615384615385,0.5954653057594573
20,shahul-p-74a571a8,113,0.2692307692307692,0.5898625244918027
21,shafas-hussain-5b9850214,24,0.3076923076923077,0.5870944813282907
22,saeeduzaman-k-b94663268,78,0.0,0.5846127437722523
23,akhila-s-joseph-3045561a5,122,0.07692307692307693,0.5825002454335604
24,pratheeshajohnbosco,96,0.2692307692307692,0.581495910165916
25,thereseelizabeth,36,0.07692307692307693,0.5787724661379885
26,alicia-d-souza-43660a193,69,0.07692307692307693,0.5775781180097183
27,fenny-c-varghese-b31b391ab,95,0.07692307692307693,0.5765685407906795
28,leena-e-2973131b9,102,0.07692307692307693,0.5752518997482678
29,ranjani-anthony-raj-chrp-chrm-751669227,53,0.07692307692307693,0.5713963925008209
30,febamarybabu,114,0.07692307692307693,0.5686498358089945
31,muhammad-ak-4bb07a234,74,0.07692307692307693,0.5682464478283944
32,arya-kunnath-69039b221,21,0.0,0.566507678922968
33,dhrissya-m-s-b9b41a230,99,0.3461538461538461,0.5660775560768324
34,mohammedshakirpp,56,0.2692307692307692,0.5660088928896597
35,mariam-khalid-47a537211,12,0.23076923076923078,0.5657811703217401
36,alyazyeh-a-2928b7155,124,0.15384615384615385,0.565680663203246
37,muhammed-muhammed-bin-siddique-a270873a6,52,0.07692307692307693,0.5643012604244434
38,ayesha-nasim-188151196,72,0.5769230769230769,0.5625045427444485
39,sufiyan-malik-,7,0.3076923076923077,0.5622848456453088
40,fathimath-farhana-parveen,19,0.07692307692307693,0.5588217143100119
41,reshmajose13,128,0.0,0.5586531268069025
42,feba-abraham-7009291a9,62,0.0,0.5576134512627603
43,sonali-kandari-7655441a9,91,0.07692307692307693,0.5569095854217438
44,aswin-shanmugam-raghuraman,66,0.3076923076923077,0.5567709247382305
45,anshu-daswani-261aa3193,64,0.07692307692307693,0.556152592666763
46,roxanna-ghassemlou-007078191,132,0.07692307692307693,0.5531119409074399
47,nayantharabalagopal,123,0.07692307692307693,0.5525727555736449
48,devikaaneesh,10,0.2692307692307692,0.5504471752013389
49,mufeetha-p-v-951b9a281,33,0.3846153846153846,0.5494516564329712
50,vishnu-viswan-42a1zd,18,0.3846153846153846,0.5489502103261021
51,kanittha-lanpisut-4653631b3,115,0.07692307692307693,0.5477012077142052
52,saranya-s-97a935115,49,0.15384615384615385,0.5463787825512014
53,priyanshi-negi-9b6480217,35,0.15384615384615385,0.5458338567561651
54,dayana-reddy-908340287,14,0.07692307692307693,0.5432108923001805
55,signey-a-a9ba51272,61,0.07692307692307693,0.5424358335061049
56,hiroshi-de-silva-何洛诗）-4317a7207,111,0.07692307692307693,0.5396485403150252
57,shalini-ajith-734812373,55,0.15384615384615385,0.5396357717430326
58,sean-dsouza-7aa2b1214,68,0.15384615384615385,0.5354887910641313
59,akshaya-a-s-a855301b3,90,0.0,0.5321576566461376
60,sandra-amoafo-3819a435a,89,0.3076923076923077,0.5314817481061973
61,arfa-arif-3948a71a3,77,0.3076923076923077,0.5292124329151864
62,angelika-quiambao,98,0.3076923076923077,0.5260220350457367
63,sabatinihussain,46,0.0,0.525459051412087
64,nazreen-abdulmajeed-763701376,71,0.1923076923076923,0.5253380357382116
65,fidha-ashraf-a115b32b8,109,0.15384615384615385,0.5247323922331588
66,khadija-suroor-khan-27a92021b,126,0.07692307692307693,0.519985570424846
67,sharath-p-nair-951a8a1b1,103,0.07692307692307693,0.5194486903026185
68,amjadkhan12,41,0.1923076923076923,0.518591265170316
69,ayshaalneyadi-811a792ab,70,0.07692307692307693,0.5172061840640263
70,sanjusasi,76,0.07692307692307693,0.5162242173549456
71,fathimath-safa-65b4b219b,48,0.3076923076923077,0.515143950438963
72,preethi-erannagowda-a89837185,138,0.15384615384615385,0.5150157965650421
73,selenaatari,32,0.3846153846153846,0.5148359302270744
74,gouri-prasad-psych,57,0.3076923076923077,0.5121759564357095
75,firdouse-kouser-259262415,75,0.07692307692307693,0.5114277815634615
76,redaabulwafa,119,0.15384615384615385,0.5062615770711197
77,hkalsaeedi,105,0.07692307692307693,0.5023469374663098
78,karen-kaye,16,0.0,0.5018966538449616
79,ahmed-k-547a273a9,120,0.2692307692307692,0.5008228493139891
80,donna-rose-ortiz-167590199,17,0.5769230769230769,0.4990987937471067
81,nazish-akhtar-514887249,88,0.0,0.49790822470599827
82,annika-nicole-gulati-46778013b,143,0.07692307692307693,0.4977484134787262
83,manjusha-kenwal,106,0.07692307692307693,0.4940544876678312
84,frincy-francis-1949b120b,121,0.0,0.49249765819275126
85,balakrishna-balamourougan-a1165922b,83,0.2692307692307692,0.4894127232084322
86,rajasree-devadas-81aa83214,23,0.07692307692307693,0.4886195156809544
87,sulaikha-kp-abab91201,125,0.07692307692307693,0.4847675921146154
88,muhammedadil69,137,0.2692307692307692,0.483037448807376
89,adv-basil-sajan-80b572280,51,0.15384615384615385,0.4822598953767533
90,lipna-s-144762201,145,0.0,0.48217260108896964
91,roan-garambas-1b0092290,27,0.1923076923076923,0.48197305659153167
92,catherine-njoroge-539974257,29,0.15384615384615385,0.48008698802922967
93,anjali-nair-h-21a358128,11,0.15384615384615385,0.4781597161469375
94,diksha-dey-971932253,45,0.0,0.4763088476980326
95,aisha-muzaffar-b464ab252,67,0.15384615384615385,0.4760700535235959
96,veeshma-mohan-9a0247195,85,0.0,0.47316232143113046
97,haydi-hani,84,0.07692307692307693,0.4727569126781256
98,rachita-kapadia-05902717a,118,0.15384615384615385,0.47086305118171423
99,aishwarya-rajeevkumar-105288323,63,0.07692307692307693,0.46913640966933357
100,athullya-ulkrishtan-929520273,65,0.07692307692307693,0.46870549776214065
101,shokhidarustamova,112,0.07692307692307693,0.4666250200187968
102,sharal-zeena-vas-a9ab3922a,140,0.07692307692307693,0.4657154650770803
103,busisiwe-ndlovu-8176981a3,100,0.07692307692307693,0.46525759490183227
104,christyl-mae-pada,79,0.0,0.4643608908751362
105,efrelyn-ablay-81b008252,47,0.2692307692307692,0.4607712062732304
106,chirag-sapara-27780311a,108,0.0,0.4542419007755596
107,abdullah-al-zadjali-2553b7275,28,0.2692307692307692,0.45383610686491743
108,mohammed-haziq-baig-692225232,144,0.0,0.45376378407162654
109,umehanikhanum,104,0.07692307692307693,0.4517707607064894
110,melanie-c-silva,110,0.07692307692307693,0.450110528240089
111,hana-salik-77384b231,81,0.0,0.44925374411619623
112,galmangalino,38,0.0,0.44832255585299996
113,moideen-ziad-k-551913371,15,0.15384615384615385,0.44797085447121965
114,jamela-sagang-9bb93a2ab,93,0.07692307692307693,0.4479305648158142
115,shubhra-chauhan-161357234,133,0.0,0.4465263541857121
116,paula-roig-outeiriñoatlantisdubai,139,0.0,0.4427446242479177
117,mufitha-k-m-54b2a31a2,129,0.0,0.44114812848320983
118,wdeea-nashwan-0a955b1b3,58,0.0,0.44023722585287517
119,abdallah-bin-massoud-8290a5147,134,0.0,0.4393835963194187
120,saharkhattab,101,0.0,0.43901812222028125
121,niamh-mullarkey-279b3a209,80,0.0,0.4388898748779313
122,monika-bhati-651b782b3,44,0.0,0.4376149125872547
123,mahnoor-ijaz-004690167,131,0.0,0.4348730969928941
124,afna-naseeba-719799265,127,0.0,0.433312798370861
125,shamma-almansoori-6649102b7,31,0.3846153846153846,0.43180724608097054
126,anandhu-s-30a9b61b9,3,0.07692307692307693,0.4252970869538615
127,dawood-imran-hr,9,0.07692307692307693,0.4227177592600591
128,ramihanbali,82,0.07692307692307693,0.4203508964534717
129,afrazshaikh,142,0.15384615384615385,0.4154172326536041
130,dana-al-bastaki-bb23471a3,107,0.0,0.41385299902130757
131,che-ibardelosa-a538072a1,1,0.0,0.4056541204142652
132,naina-joshi-hr-692b45228,86,0.2692307692307692,0.4005501203812085
133,zahra-wael-033756351,141,0.15384615384615385,0.3965374284418377
134,swathi-ar-84681417b,50,0.15384615384615385,0.38550745448587054
135,ahmed-sameh-8864091a3,26,0.0,0.3804854555381423
136,alhassanaltameemi,73,0.23076923076923078,0.3762773925983829
137,aaqib-mohamed-734b30271,43,0.0,0.37473337465136713
138,ayesha-shams-718356251,97,0.07692307692307693,0.3643649097794523
139,mohini-ingale-1b2093237,94,0.0,0.35969116945937385
140,malavika-sunil-a3a16620b,130,0.0,0.35885357869642376
141,houda-belfatmi-47ab5934a,87,0.07692307692307693,0.3463903993544494
142,rose-de-castro-b92a76250,22,0.0,0.34602374067673314
143,veronica-aguila-00ab44100,117,0.07692307692307693,0.34362729097259115
144,burul-asylbekova-00069a222,116,0.0,0.33775109009100834
145,amal-ragesh,40,0.0,0.33055672448415024
